start_time,memory_rss,memory_vms,cpu_percent
01/09/2024 14:33:47,357814272,434520064,0.0
01/09/2024 14:33:48,357838848,434520064,0.0
01/09/2024 14:33:49,357863424,434520064,0.0
01/09/2024 14:33:50,357953536,435576832,0.0
01/09/2024 14:33:51,357978112,435576832,0.0
01/09/2024 14:33:52,358006784,435576832,0.0
01/09/2024 14:33:53,358031360,435576832,0.0
01/09/2024 14:33:54,358055936,435576832,0.0
01/09/2024 14:33:55,358060032,434520064,0.0
01/09/2024 14:33:56,358084608,434520064,0.0
01/09/2024 14:33:57,358109184,434520064,0.0
01/09/2024 14:33:58,358133760,434520064,0.0
01/09/2024 14:33:59,358158336,434520064,0.0
01/09/2024 14:34:00,358187008,435044352,0.0
01/09/2024 14:34:01,358281216,436101120,0.0
01/09/2024 14:34:02,358309888,436101120,0.0
01/09/2024 14:34:03,358342656,436101120,0.0
01/09/2024 14:34:04,358367232,436101120,0.0
01/09/2024 14:34:05,358395904,436101120,0.0
01/09/2024 14:34:06,358400000,435044352,0.0
01/09/2024 14:34:07,358424576,435044352,0.0
01/09/2024 14:34:08,358449152,435044352,0.0
01/09/2024 14:34:09,358473728,435044352,0.0
01/09/2024 14:34:10,358498304,435044352,0.0
01/09/2024 14:34:11,358522880,435044352,1.6
01/09/2024 14:34:12,358547456,435044352,0.0
01/09/2024 14:34:13,358576128,435044352,0.0
01/09/2024 14:34:14,358600704,435044352,1.6
01/09/2024 14:34:15,358625280,435044352,1.6
01/09/2024 14:34:16,358649856,435044352,0.0
01/09/2024 14:34:17,358674432,435044352,0.0
01/09/2024 14:34:18,358703104,435568640,0.0
01/09/2024 14:34:19,358735872,435568640,0.0
01/09/2024 14:34:20,358825984,436625408,1.6
01/09/2024 14:34:21,358854656,436625408,1.5
01/09/2024 14:34:22,358883328,436625408,1.6
01/09/2024 14:34:23,358907904,436625408,1.6
01/09/2024 14:34:24,358932480,436625408,0.0
01/09/2024 14:34:25,358936576,435568640,0.0
01/09/2024 14:34:26,358961152,435568640,0.0
01/09/2024 14:34:27,358985728,435568640,0.0
01/09/2024 14:34:28,359010304,435568640,0.0
01/09/2024 14:34:29,359034880,435568640,0.0
01/09/2024 14:34:30,359120896,436625408,1.6
01/09/2024 14:34:31,359149568,436625408,0.0
01/09/2024 14:34:32,359174144,436625408,0.0
01/09/2024 14:34:33,359198720,436625408,0.0
01/09/2024 14:34:34,359223296,436625408,0.0
01/09/2024 14:34:35,359231488,436092928,0.0
01/09/2024 14:34:36,359260160,436092928,0.0
01/09/2024 14:34:37,359288832,436092928,0.0
01/09/2024 14:34:38,359317504,436092928,1.6
01/09/2024 14:34:39,359346176,436092928,0.0
01/09/2024 14:34:40,359370752,436092928,0.0
01/09/2024 14:34:41,359395328,436092928,0.0
01/09/2024 14:34:42,359419904,436092928,0.0
01/09/2024 14:34:43,359444480,436092928,0.0
01/09/2024 14:34:44,359473152,436092928,1.6
01/09/2024 14:34:45,359497728,436092928,0.0
01/09/2024 14:34:46,359522304,436092928,0.0
01/09/2024 14:34:47,359546880,436092928,0.0
01/09/2024 14:34:48,359571456,436092928,0.0
01/09/2024 14:34:49,359596032,436092928,1.6
01/09/2024 14:34:50,359677952,437149696,0.0
01/09/2024 14:34:51,359702528,437149696,0.0
01/09/2024 14:34:52,359727104,437149696,0.0
01/09/2024 14:34:53,359763968,437673984,6.3
01/09/2024 14:34:54,349171712,427175936,46.9
01/09/2024 14:34:55,350511104,427700224,128.2
01/09/2024 14:34:56,367661056,446611456,141.5
01/09/2024 14:34:57,350437376,429899776,153.2
01/09/2024 14:34:58,359587840,438812672,176.6
01/09/2024 14:34:59,358645760,437829632,198.5
01/09/2024 14:35:00,353632256,432582656,142.2
01/09/2024 14:35:01,350441472,429961216,67.1
01/09/2024 14:35:02,358842368,438218752,0.0
01/09/2024 14:35:03,358871040,438218752,0.0
01/09/2024 14:35:04,358895616,438218752,0.0
01/09/2024 14:35:05,358920192,438218752,0.0
01/09/2024 14:35:06,358944768,438218752,1.6
01/09/2024 14:35:07,358912000,435044352,0.0
01/09/2024 14:35:08,358936576,435044352,1.6
01/09/2024 14:35:09,358961152,435044352,0.0
01/09/2024 14:35:10,358989824,435044352,0.0
01/09/2024 14:35:11,359018496,435044352,0.0
01/09/2024 14:35:12,359047168,435044352,0.0
01/09/2024 14:35:13,359075840,435044352,1.6
01/09/2024 14:35:14,359108608,435044352,0.0
01/09/2024 14:35:15,359133184,435044352,0.0
01/09/2024 14:35:16,359157760,435044352,0.0
01/09/2024 14:35:17,359182336,435044352,0.0
01/09/2024 14:35:18,359206912,435044352,0.0
01/09/2024 14:35:19,359231488,435044352,0.0
01/09/2024 14:35:20,359321600,436625408,0.0
01/09/2024 14:35:21,359346176,436625408,0.0
01/09/2024 14:35:22,359370752,436625408,0.0
01/09/2024 14:35:23,359378944,436600832,0.0
01/09/2024 14:35:24,359403520,436600832,0.0
01/09/2024 14:35:25,359411712,435544064,0.0
01/09/2024 14:35:26,359436288,435544064,0.0
01/09/2024 14:35:27,359460864,435544064,0.0
01/09/2024 14:35:28,359489536,435544064,0.0
01/09/2024 14:35:29,359518208,435544064,3.1
01/09/2024 14:35:30,359608320,436600832,0.0
01/09/2024 14:35:31,359636992,436600832,0.0
01/09/2024 14:35:32,359665664,436600832,0.0
01/09/2024 14:35:33,359694336,436600832,0.0
01/09/2024 14:35:34,359718912,436600832,0.0
01/09/2024 14:35:35,359727104,435544064,0.0
01/09/2024 14:35:36,359751680,435544064,0.0
01/09/2024 14:35:37,359776256,435544064,0.0
01/09/2024 14:35:38,359800832,436068352,0.0
01/09/2024 14:35:39,359825408,436068352,0.0
01/09/2024 14:35:40,359849984,436068352,0.0
01/09/2024 14:35:41,359874560,436068352,0.0
01/09/2024 14:35:42,359903232,436068352,0.0
01/09/2024 14:35:43,359927808,436068352,0.0
01/09/2024 14:35:44,359952384,436068352,0.0
01/09/2024 14:35:45,359976960,436068352,0.0
01/09/2024 14:35:46,360005632,436068352,0.0
01/09/2024 14:35:47,360034304,436068352,50.8
01/09/2024 14:35:48,360411136,438710272,25.0
01/09/2024 14:35:49,355385344,433463296,12.5
01/09/2024 14:35:50,349511680,428212224,9.4
01/09/2024 14:35:51,363294720,441331712,39.1
01/09/2024 14:35:52,367706112,445526016,142.1
01/09/2024 14:35:53,356175872,435044352,124.6
01/09/2024 14:35:54,361160704,440356864,10.9
01/09/2024 14:35:55,352432128,431435776,0.0
01/09/2024 14:35:56,352460800,431435776,0.0
01/09/2024 14:35:57,352485376,431435776,0.0
01/09/2024 14:35:58,352509952,431435776,0.0
01/09/2024 14:35:59,352493568,429318144,0.0
01/09/2024 14:36:00,352559104,429842432,0.0
01/09/2024 14:36:01,352583680,429842432,0.0
01/09/2024 14:36:02,352608256,429842432,0.0
01/09/2024 14:36:03,352636928,429842432,0.0
01/09/2024 14:36:04,352665600,429842432,0.0
01/09/2024 14:36:05,352677888,428785664,0.0
01/09/2024 14:36:06,352706560,428785664,0.0
01/09/2024 14:36:07,335036416,428785664,0.0
01/09/2024 14:36:08,335060992,428785664,0.0
01/09/2024 14:36:09,335089664,428785664,0.0
01/09/2024 14:36:10,335114240,428785664,0.0
01/09/2024 14:36:11,335138816,428785664,0.0
01/09/2024 14:36:12,335163392,428785664,0.0
01/09/2024 14:36:13,335192064,428785664,0.0
01/09/2024 14:36:14,335216640,428785664,0.0
01/09/2024 14:36:15,335241216,428785664,0.0
01/09/2024 14:36:18,335310848,428785664,0.0
01/09/2024 14:36:19,335339520,428785664,0.0
01/09/2024 14:36:20,335433728,430370816,0.0
01/09/2024 14:36:21,335458304,430370816,0.0
01/09/2024 14:36:22,335499264,430370816,0.0
01/09/2024 14:36:23,335527936,430370816,0.0
01/09/2024 14:36:25,335556608,429309952,0.0
01/09/2024 14:36:26,335581184,429309952,0.0
01/09/2024 14:36:27,335605760,429309952,0.0
01/09/2024 14:36:28,324812800,429309952,0.0
01/09/2024 14:36:30,324845568,429309952,3.1
01/09/2024 14:36:31,324935680,430370816,0.0
01/09/2024 14:36:32,324960256,430370816,0.0
01/09/2024 14:36:33,324984832,430370816,0.0
01/09/2024 14:36:34,325009408,430370816,0.0
01/09/2024 14:36:35,325033984,430370816,0.0
01/09/2024 14:36:36,325046272,429309952,0.0
01/09/2024 14:36:37,325070848,429834240,0.0
01/09/2024 14:36:38,325095424,429834240,0.0
01/09/2024 14:36:39,325120000,429834240,0.0
01/09/2024 14:36:40,325160960,429834240,0.0
01/09/2024 14:36:41,325185536,429834240,0.0
01/09/2024 14:36:42,325222400,429834240,0.0
01/09/2024 14:36:43,325251072,429834240,0.0
01/09/2024 14:36:44,325275648,429834240,0.0
01/09/2024 14:36:45,325320704,429862912,0.0
01/09/2024 14:36:47,325365760,429862912,0.0
01/09/2024 14:36:48,325390336,429862912,0.0
01/09/2024 14:36:49,325414912,429862912,0.0
01/09/2024 14:36:50,325500928,430919680,0.0
01/09/2024 14:36:51,325525504,430919680,0.0
01/09/2024 14:36:52,325550080,430919680,0.0
01/09/2024 14:36:53,325574656,430919680,0.0
01/09/2024 14:36:54,325599232,430919680,0.0
01/09/2024 14:36:55,325603328,430387200,0.0
01/09/2024 14:36:56,325636096,430387200,0.0
01/09/2024 14:36:57,325664768,430387200,0.0
01/09/2024 14:36:58,325689344,430387200,0.0
01/09/2024 14:36:59,325718016,430387200,0.0
01/09/2024 14:37:00,325816320,431443968,0.0
01/09/2024 14:37:01,325844992,431443968,0.0
01/09/2024 14:37:02,325869568,431443968,0.0
01/09/2024 14:37:03,325894144,431443968,0.0
01/09/2024 14:37:04,325918720,431443968,0.0
01/09/2024 14:37:05,325922816,430387200,0.0
01/09/2024 14:37:06,325947392,430387200,0.0
01/09/2024 14:37:07,325971968,430387200,0.0
01/09/2024 14:37:08,325996544,430387200,0.0
01/09/2024 14:37:09,326025216,430387200,0.0
01/09/2024 14:37:10,326049792,430387200,0.0
01/09/2024 14:37:11,326074368,430387200,0.0
01/09/2024 14:37:12,326098944,430387200,0.0
01/09/2024 14:37:13,326123520,430387200,0.0
01/09/2024 14:37:14,326152192,430911488,0.0
01/09/2024 14:37:15,326180864,430911488,0.0
01/09/2024 14:37:16,326205440,430911488,0.0
01/09/2024 14:37:17,326238208,430911488,0.0
01/09/2024 14:37:18,326270976,430911488,0.0
01/09/2024 14:37:19,326299648,430911488,0.0
01/09/2024 14:37:20,326385664,431972352,0.0
01/09/2024 14:37:21,326410240,431972352,0.0
01/09/2024 14:37:22,326434816,431972352,0.0
